id,name,section_8
f1f0feb5-136d-4df4-b59d-438b7b6b4519,Karley Square,
dc74afb0-872e-4b10-b563-27e34bbdb50d,Lawndale Apartments,
35971f5f-e417-444a-8777-6c2a6e450cd2,Pablo Davis,
370fcfee-6a33-47c0-9211-35694fa78fe5,Brightmoor Homes I,yes
f525da42-47e3-48c8-9a8b-8c07e23b61df,Delta Manor Apartments,
1b4421ef-726f-40a7-b336-d496b4354725,Bell Building,
dba99761-8382-49ff-8ec3-685b37986e03,Oakman Townhomes,
32e9d543-5481-489b-a7c3-b3179297c4f1,Antonella Test,
b0ce7611-a240-45f6-87fe-bfb4742b7fd1,The Corner,
981d197e-647d-4c0a-b954-8994c7d84f21,Wellington Square II,
7b00615f-91ce-43bc-808c-6dbce0b0c364,Woodbridge Senior Village,
07220700-86f1-4ff8-a3f0-da1613519514,Chene Park Commons,
b2832a7b-4d1d-436e-81ec-03f3a484bcee,Northlawn Apartments,
a493caad-5fef-4b1d-8ce7-478b98adba1f,Eden Manor,
6157d462-2040-49ad-baa6-cee69fcc0716,Jefferson Meadows II,
666c9924-dbb7-472c-834c-3300482c6d32,Jennings Senior Living,
a5d68d28-9bdb-420e-ad43-6fb8520a8f3d,Freedom Place Apartments,
abda5ce8-753d-4351-b1dc-9434b355d676,Robert Thomas Apartments,yes
5911d84f-f57b-4104-8a42-309118ad12ce,David Stott,
c6060216-1585-40eb-b82a-3bcff5c14251,San Juan Square Townhomes,
7d682abe-729f-4252-96dd-ece0d028ac5d,Woodbridge Senior Apartments,
fd210aa4-1ad8-4fce-b8d8-64454e294921,9100 ON Gratiot,
04969fa7-3ca2-411d-b6f0-3a4bb1a7be8b,Renaissance Village Apartments,
77fd3e65-cf25-4911-8bd2-e7425641ecdb,Warren Plaza Apartments,
1485f58d-c8c6-4705-a9c8-1554710cef9e,The Flats at 124 Alfred,yes
3a2684ef-e6fa-41b9-ad0c-6e73d75c40d8,Calumet Townhomes,
f8ba76f0-d26d-4ee1-973e-76c403e233fe,Conner Creek Apartments,
3e75d761-7e91-49fe-a56b-3b693c9ba864,LaVogue Square,
ba994450-29e8-4613-b268-6a5a01750b03,Parker Durand,
1e4ea6d5-bfc0-4fc2-8429-bfc4ee704652,Dickerson Manor Senior Apartments,yes
83e653c6-5f02-4d0f-8304-8fbf59ec48ba,Savannah Gardens,
c9b65d07-cf04-44d3-8735-cef53759c4bc,Milwaukee Junction Apartments,
691fac47-8b2e-4eaa-ba8f-4b5f8efb8741,Prince Hall Place,
f93bb23e-c126-49b2-8419-dfa329823310,Samaritas Affordable Living at Gateshead Crossing,
a2f8941f-3b3f-4072-8ef9-cea2af2bf594,Woodbridge Estates Phase IX,
38dcbc4a-ff99-41a7-883b-9f75c37211ed,Gardenview Estates,yes
148f2458-78f5-4ba4-84d2-32c1a277fede,Clinton House Apartments,
33daaf97-ab36-4058-bca1-7f4f1257f930,Meyers Plaza Co-op Senior Apartments,
4c07a335-8012-4190-8120-876b3f992b3e,River Crest Apartments,yes
923f1cc0-25c8-40e5-8447-af0a92ffe6c6,329 Holbrook,
9efea022-48e3-4d3a-9fac-852a065f4864,New Center Square,
4d2d8716-e5ab-4723-b2b0-95fee8cbad7c,Pilgrim Village,
8023159c-8764-4d36-8306-b3e0ecabc8a8,Cathedral Tower,
e40aaf7b-10ca-4086-8563-2a58e87c4ea5,Friendship Meadows Apartments,yes
5b50be22-fb68-424b-8e64-e10f163c0261,Saratoga Homes,
92e6e9c6-4089-4296-aeb7-5d4e5e2114e3,Joy West Manor,
e7e81c7b-4356-4224-812e-7b6c1e214e54,Chesterfield Apartments,
e607e294-1926-46a2-aa40-f0ee1943efc3,Palmer Court Townhomes,
a7452108-5c23-4c69-95ff-3755a12a73ff,Greenhouse Apartments,
557271f2-0fb1-4e58-aafc-ebb20f0137fe,Cass Plaza,
6e51ad21-4f5c-4584-aea1-700e127a38ad,Washington Boulevard Apartments,yes
d9253b83-b722-40dd-8009-1f0610605ec1,28 Grand Apartments,yes
972233b5-0785-41e7-9c86-ea922ed00b6d,Peterboro Place,
e99f93f0-33dd-4e43-b7e5-80c9c313ca28,Benjamin Manor Townhomes,yes
4f6af8df-1abf-4650-b548-850d94c85a22,Penrose Village,
c0f9f872-d0aa-4b9b-8489-a7d658d25612,The Wellesley,
479ae36d-9ab4-41c3-8ff9-a21341a0cbc9,Pablo Davis II Elder Living Center,
bff4b1b8-5fc3-4646-8e9d-c36dd6ce6d59,Selden Properties,
b4020df6-bb65-475c-b4c9-b0df39025773,Marketplace Court,
067bbeb3-d925-421b-a098-5382d7218046,Clay Apartments,
b15b9790-a057-451a-b047-f1fc904fef7f,The Corner wrong,
d53c5f30-5b21-4ae3-acc4-1e9b4020b76b,Kamper Stevens,
689df71a-2fd1-4e27-b525-bd1efb13f190,The Village of Oakman Manor,
8c73db04-d21e-4251-bbf8-0efcad3b064c,Cambridge Towers,
0a830d7a-1412-484c-8973-0bbad610600f,8330 On the River,
c19fc289-f39a-485e-a45f-1c9c44749dd3,Village Center,
9eba5f0b-5e93-4e67-bbca-bdd9a6212c4c,State Fair Apartment,
9ab11b6a-08dc-4cda-9e6c-2bc92182f6fa,Helisa Square,
62975e1f-02f9-47cc-bd1f-a01e10292bee,Plymouth Square Village,
6e6d7285-9f85-4b87-971f-fdce0c56ff2e,Forest Park Apartments,
c29ef79f-b6cf-4cdf-957e-16ab6e6f3a27,The Village of Harmony Manor,
f84781d7-5e71-40b7-802c-41edf5fb6f1d,MCDONALD SQUARE APARTMENTS,
56750ef6-6655-4a92-92b4-e4d400d11c35,Northwest Unity Homes,
7cfebad8-c6fa-4d6d-8d1d-28f35249dcce,McCoy Townhouses,
1d8e0c1d-c365-4691-9e64-69f50ce50efc,New Center Commons,
19beec77-adca-4de8-8ca4-5864ecd8183e,Fairview Manor Apartments,
28aa75f4-cde0-4af9-954a-c6368515c374,NEW CENTER PAVILION,
36c230ee-31ad-4e05-ae14-b06dc254ace5,City Modern Senior Affordable,
7d39601a-714f-413a-89d7-0d0f3b09bdc4,Kendall Homes,
2b90a7b6-51e7-46d9-ab46-2da4317e6ab2,Montana Gardens,
5caaa948-1026-4975-b3b6-beb8b3b93472,Cole Apartments,
95681b3f-ced3-4047-8dad-816cbeb2d9d0,Vernor Townhomes,
84784058-8e7a-4a22-87cf-5dbb5399d4a8,Restoration Towers,
2f1d14e9-2630-461f-885c-890c064af01d,Shirley Manor Apartment,
eedc856b-f2f2-4c9e-b539-f82f0e8f4dd0,Harriet Tubman,
89db0a5a-b63e-4853-8529-ab28b80b9ef5,St. Aubin Square,
8cec52b1-4af4-41e4-b920-e473cb39662b,Elmwood Towers,
2016ff43-0abb-47dc-a3a4-4ebb6ec1cff9,Orchestra Place Apartments,
09fbabc6-2dda-4131-ac95-476b552681fc,Galston Apartments,
baa56c22-7a4e-486b-8975-20183a0d3933,Mohican Regent/ Lifebuilders II,
